score,s1,s2
0.8990,Commerce and research are being transformed by data-driven discovery and prediction.,Understanding of the process of identifying and formulating research problems.
0.9246,"Skills required for data analytics at massive levels – scalable data management on and off the cloud, parallel algorithms, statistical modeling, and proficiency with a complex ecosystem of tools and platforms – span a variety of disciplines and are not easy to obtain through conventional curricula.","This includes different tasks such as topic modelling, statistical analysis, applying different machine learning techniques to solve a problem in a team, proving theorems, complexity analysis, designing a research project, reviewing papers and presenting papers."
0.9382,"Tour the basic techniques of data science, including both SQL and NoSQL solutions for massive data management, basic statistical modeling (e.g., descriptive statistics, linear and non-linear regression), algorithms for machine learning and optimization, and fundamentals of knowledge representation and search.","This includes different tasks such as topic modelling, statistical analysis, applying different machine learning techniques to solve a problem in a team, proving theorems, complexity analysis, designing a research project, reviewing papers and presenting papers."
0.8914,Learn key concepts in security and the use of cryptographic techniques in securing data.,"This includes different tasks such as topic modelling, statistical analysis, applying different machine learning techniques to solve a problem in a team, proving theorems, complexity analysis, designing a research project, reviewing papers and presenting papers."
0.9114,"Demonstrate a conceptual understanding of database systems and architecture, data models and declarative query languages","This includes different tasks such as topic modelling, statistical analysis, applying different machine learning techniques to solve a problem in a team, proving theorems, complexity analysis, designing a research project, reviewing papers and presenting papers."
0.8411,"Define, query and manipulate a relational database","Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions."
0.9428,"Demonstrate basic knowledge and understanding of descriptive and predictive data analysis methods, optimization and search, and knowledge representation.","This includes different tasks such as topic modelling, statistical analysis, applying different machine learning techniques to solve a problem in a team, proving theorems, complexity analysis, designing a research project, reviewing papers and presenting papers."
0.9359,Formulate and extract descriptive and predictive statistics from data.,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions."
0.9364,Analyse and interpret results from descriptive and predictive data analysis.,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions."
0.9415,Apply their knowledge to a given problem domain and articulate potential data analysis problems.,Understanding of the process of identifying and formulating research problems.
0.9188,"Identify potential pitfalls, and social and ethical implications of data science.",Understanding of the process of identifying and formulating research problems.
0.8927,"Explain key security concepts and the use of cryptographic techniques, digital signatures and PKI in security.","This includes different tasks such as topic modelling, statistical analysis, applying different machine learning techniques to solve a problem in a team, proving theorems, complexity analysis, designing a research project, reviewing papers and presenting papers."
