course1,course2,score
comp3120,comp3120,1.0
comp3120,comp3300,0.8621
comp3120,comp3310,0.8731
comp3120,comp3320,0.8679
comp3120,comp3425,0.883
comp3120,comp3430,0.8813
comp3120,comp3530,0.8812
comp3120,comp3600,0.8681
comp3120,comp3620,0.8653
comp3120,comp3701,0.8904
comp3120,comp3703,0.8696
comp3120,comp3704,0.8651
comp3120,comp3900,0.8828
comp3300,comp3120,0.8621
comp3300,comp3300,1.0
comp3300,comp3310,0.9025
comp3300,comp3320,0.898
comp3300,comp3425,0.8878
comp3300,comp3430,0.8844
comp3300,comp3530,0.8738
comp3300,comp3600,0.8975
comp3300,comp3620,0.8844
comp3300,comp3701,0.889
comp3300,comp3703,0.8924
comp3300,comp3704,0.8815
comp3300,comp3900,0.8844
comp3310,comp3120,0.8731
comp3310,comp3300,0.9025
comp3310,comp3310,1.0
comp3310,comp3320,0.8956
comp3310,comp3425,0.8933
comp3310,comp3430,0.9048
comp3310,comp3530,0.8782
comp3310,comp3600,0.8989
comp3310,comp3620,0.888
comp3310,comp3701,0.9023
comp3310,comp3703,0.8939
comp3310,comp3704,0.8983
comp3310,comp3900,0.8918
comp3320,comp3120,0.8679
comp3320,comp3300,0.898
comp3320,comp3310,0.8956
comp3320,comp3320,1.0
comp3320,comp3425,0.8946
comp3320,comp3430,0.8867
comp3320,comp3530,0.8812
comp3320,comp3600,0.9075
comp3320,comp3620,0.8948
comp3320,comp3701,0.891
comp3320,comp3703,0.8907
comp3320,comp3704,0.8792
comp3320,comp3900,0.8909
comp3425,comp3120,0.883
comp3425,comp3300,0.8878
comp3425,comp3310,0.8933
comp3425,comp3320,0.8946
comp3425,comp3425,1.0
comp3425,comp3430,0.9021
comp3425,comp3530,0.8836
comp3425,comp3600,0.9006
comp3425,comp3620,0.8934
comp3425,comp3701,0.9007
comp3425,comp3703,0.8871
comp3425,comp3704,0.8853
comp3425,comp3900,0.8984
comp3430,comp3120,0.8813
comp3430,comp3300,0.8844
comp3430,comp3310,0.9048
comp3430,comp3320,0.8867
comp3430,comp3425,0.9021
comp3430,comp3430,1.0
comp3430,comp3530,0.8815
comp3430,comp3600,0.8941
comp3430,comp3620,0.8834
comp3430,comp3701,0.899
comp3430,comp3703,0.8871
comp3430,comp3704,0.8796
comp3430,comp3900,0.8982
comp3530,comp3120,0.8812
comp3530,comp3300,0.8738
comp3530,comp3310,0.8782
comp3530,comp3320,0.8812
comp3530,comp3425,0.8836
comp3530,comp3430,0.8815
comp3530,comp3530,1.0
comp3530,comp3600,0.8771
comp3530,comp3620,0.8736
comp3530,comp3701,0.888
comp3530,comp3703,0.8717
comp3530,comp3704,0.8684
comp3530,comp3900,0.8914
comp3600,comp3120,0.8681
comp3600,comp3300,0.8975
comp3600,comp3310,0.8989
comp3600,comp3320,0.9075
comp3600,comp3425,0.9006
comp3600,comp3430,0.8941
comp3600,comp3530,0.8771
comp3600,comp3600,1.0
comp3600,comp3620,0.9043
comp3600,comp3701,0.8909
comp3600,comp3703,0.8951
comp3600,comp3704,0.8828
comp3600,comp3900,0.8885
comp3620,comp3120,0.8653
comp3620,comp3300,0.8844
comp3620,comp3310,0.888
comp3620,comp3320,0.8948
comp3620,comp3425,0.8934
comp3620,comp3430,0.8834
comp3620,comp3530,0.8736
comp3620,comp3600,0.9043
comp3620,comp3620,1.0
comp3620,comp3701,0.8884
comp3620,comp3703,0.8821
comp3620,comp3704,0.8743
comp3620,comp3900,0.8924
comp3701,comp3120,0.8904
comp3701,comp3300,0.889
comp3701,comp3310,0.9023
comp3701,comp3320,0.891
comp3701,comp3425,0.9007
comp3701,comp3430,0.899
comp3701,comp3530,0.888
comp3701,comp3600,0.8909
comp3701,comp3620,0.8884
comp3701,comp3701,1.0
comp3701,comp3703,0.9035
comp3701,comp3704,0.9051
comp3701,comp3900,0.8982
comp3703,comp3120,0.8696
comp3703,comp3300,0.8924
comp3703,comp3310,0.8939
comp3703,comp3320,0.8907
comp3703,comp3425,0.8871
comp3703,comp3430,0.8871
comp3703,comp3530,0.8717
comp3703,comp3600,0.8951
comp3703,comp3620,0.8821
comp3703,comp3701,0.9035
comp3703,comp3703,1.0
comp3703,comp3704,0.9027
comp3703,comp3900,0.8844
comp3704,comp3120,0.8651
comp3704,comp3300,0.8815
comp3704,comp3310,0.8983
comp3704,comp3320,0.8792
comp3704,comp3425,0.8853
comp3704,comp3430,0.8796
comp3704,comp3530,0.8684
comp3704,comp3600,0.8828
comp3704,comp3620,0.8743
comp3704,comp3701,0.9051
comp3704,comp3703,0.9027
comp3704,comp3704,1.0
comp3704,comp3900,0.879
comp3900,comp3120,0.8828
comp3900,comp3300,0.8844
comp3900,comp3310,0.8918
comp3900,comp3320,0.8909
comp3900,comp3425,0.8984
comp3900,comp3430,0.8982
comp3900,comp3530,0.8914
comp3900,comp3600,0.8885
comp3900,comp3620,0.8924
comp3900,comp3701,0.8982
comp3900,comp3703,0.8844
comp3900,comp3704,0.879
comp3900,comp3900,1.0
