course1,course2,score
comp2100,comp2100,1.0
comp2100,comp2120,0.8969
comp2100,comp2310,0.8961
comp2100,comp2400,0.8955
comp2100,comp2410,0.8925
comp2100,comp2420,0.8959
comp2100,comp2550,0.8903
comp2100,comp2560,0.8752
comp2100,comp2610,0.8827
comp2100,comp2620,0.8833
comp2100,comp2700,0.8927
comp2120,comp2100,0.8969
comp2120,comp2120,1.0
comp2120,comp2310,0.8754
comp2120,comp2400,0.8706
comp2120,comp2410,0.8937
comp2120,comp2420,0.882
comp2120,comp2550,0.8994
comp2120,comp2560,0.8891
comp2120,comp2610,0.8614
comp2120,comp2620,0.856
comp2120,comp2700,0.8887
comp2310,comp2100,0.8961
comp2310,comp2120,0.8754
comp2310,comp2310,1.0
comp2310,comp2400,0.8862
comp2310,comp2410,0.8812
comp2310,comp2420,0.878
comp2310,comp2550,0.8653
comp2310,comp2560,0.8577
comp2310,comp2610,0.8716
comp2310,comp2620,0.8685
comp2310,comp2700,0.8801
comp2400,comp2100,0.8955
comp2400,comp2120,0.8706
comp2400,comp2310,0.8862
comp2400,comp2400,1.0
comp2400,comp2410,0.8745
comp2400,comp2420,0.8906
comp2400,comp2550,0.8626
comp2400,comp2560,0.8515
comp2400,comp2610,0.8726
comp2400,comp2620,0.8732
comp2400,comp2700,0.8703
comp2410,comp2100,0.8925
comp2410,comp2120,0.8937
comp2410,comp2310,0.8812
comp2410,comp2400,0.8745
comp2410,comp2410,1.0
comp2410,comp2420,0.8838
comp2410,comp2550,0.8838
comp2410,comp2560,0.8725
comp2410,comp2610,0.8737
comp2410,comp2620,0.8574
comp2410,comp2700,0.8923
comp2420,comp2100,0.8959
comp2420,comp2120,0.882
comp2420,comp2310,0.878
comp2420,comp2400,0.8906
comp2420,comp2410,0.8838
comp2420,comp2420,1.0
comp2420,comp2550,0.8828
comp2420,comp2560,0.8644
comp2420,comp2610,0.885
comp2420,comp2620,0.8774
comp2420,comp2700,0.8851
comp2550,comp2100,0.8903
comp2550,comp2120,0.8994
comp2550,comp2310,0.8653
comp2550,comp2400,0.8626
comp2550,comp2410,0.8838
comp2550,comp2420,0.8828
comp2550,comp2550,1.0
comp2550,comp2560,0.9015
comp2550,comp2610,0.8683
comp2550,comp2620,0.8697
comp2550,comp2700,0.8868
comp2560,comp2100,0.8752
comp2560,comp2120,0.8891
comp2560,comp2310,0.8577
comp2560,comp2400,0.8515
comp2560,comp2410,0.8725
comp2560,comp2420,0.8644
comp2560,comp2550,0.9015
comp2560,comp2560,1.0
comp2560,comp2610,0.8531
comp2560,comp2620,0.8575
comp2560,comp2700,0.8781
comp2610,comp2100,0.8827
comp2610,comp2120,0.8614
comp2610,comp2310,0.8716
comp2610,comp2400,0.8726
comp2610,comp2410,0.8737
comp2610,comp2420,0.885
comp2610,comp2550,0.8683
comp2610,comp2560,0.8531
comp2610,comp2610,1.0
comp2610,comp2620,0.8863
comp2610,comp2700,0.8767
comp2620,comp2100,0.8833
comp2620,comp2120,0.856
comp2620,comp2310,0.8685
comp2620,comp2400,0.8732
comp2620,comp2410,0.8574
comp2620,comp2420,0.8774
comp2620,comp2550,0.8697
comp2620,comp2560,0.8575
comp2620,comp2610,0.8863
comp2620,comp2620,1.0
comp2620,comp2700,0.8688
comp2700,comp2100,0.8927
comp2700,comp2120,0.8887
comp2700,comp2310,0.8801
comp2700,comp2400,0.8703
comp2700,comp2410,0.8923
comp2700,comp2420,0.8851
comp2700,comp2550,0.8868
comp2700,comp2560,0.8781
comp2700,comp2610,0.8767
comp2700,comp2620,0.8688
comp2700,comp2700,1.0
