COMP1110:COMP2300,Score
Computer:Parallel computing,-0.044863764484810525
Computer:Computer hardware,-0.137751406763608
Computer:Memory,-0.0038104186240734937
Computer:Address space,-0.1377574266447968
Computer:Space,-0.01000827129859388
Computer:Data,-0.0498102466793169
Computer:Data type,-0.054943142260385235
Computer:Arithmetic logic unit,-0.19172043010752687
Computer:System,-0.019071490845684397
Computer:Computer network,0.010170142414538258
Computer:Transistor,0.03804797353184451
Computer:Data (computing),-0.11155913978494622
Computer:Endianness,-0.07191235658076531
Computer:Integer,-0.021464952704341497
Computer:Compiler,0.02988006617038875
Computer:Language,0.015536848105993591
Computer:Virtual memory,-0.12496667555318583
Computer:Error correction code,-0.034116906886296046
Computer:Page table,-0.08659754224270354
Computer:Cache (computing),-0.09274193548387097
Computer:Combinatorics,-0.029569892473118278
Computer:Clock signal,-0.1353046594982079
Computer:Processor register,-0.022920672221035387
Computer:Abstraction (computer science),-0.032886593950645936
Computer:Design,-0.012625139043381535
Computer:Bus (computing),-0.12137280895566356
Computer:Architecture,-0.005058843451020235
Computer:Interrupt,-0.1445077439084542
Computer:Direct memory access,-0.07031692133559705
Computer:Computer programming,-0.08841781874039938
Computer:Assembly language,-0.0038829151732377443
Computer:Program optimization,-0.07422861150070127
Computer:Concurrency (computer science),-0.08739721695129665
Computer:Instruction pipelining,-0.07612414467253177
Computer:Knowledge,-0.00483062494947045
Computer:Functional decomposition,-0.04090943510525519
Computer:Decomposition,0.0
Computer:Digital electronics,-0.1014813065190984
Computer:Understanding,-0.06756756756756757
Computer:Machine,-0.04272755061675118
Computer:Hardware architecture,-0.14285714285714285
Computer:Computer architecture,-0.11486175115207374
Computer:Compiled language,-0.04480286738351254
Computer:Machine code,-0.1257964954201513
Computer:Software,-0.10228274281685175
Computer:Logic gate,-0.07069029958024266
Computer:Computer,0.0
Computer:Operating system,0.07500135424284282
Computer:Central processing unit,-0.01813788284616283
Computer:Two's complement,-0.10344225666806312
Computer:Arithmetic,-0.05217883418222976
Computer:Von Neumann architecture,-0.23247740616135626
Computer:Instruction set architecture,-0.049173878835562554
Computer:Reduced instruction set computer,-0.06879276637341153
Computer:Complex instruction set computer,-0.10683667538506249
Computer:Communication,-0.04000854185508994
Computer:Computer science,-0.0845767097393945
Computer:Scientist,-0.021347248576850095
Computer:Macro (computer science),-0.018817204301075266
Computer:Virtualization,-0.1425424010641836
Computer:Synchronization,-0.05731182795698925
Computer:Input/output,-0.2559768931594601
Computer:High-level programming language,-0.03245007680491551
Computer:Subroutine,-0.05310305177450432
Computer science:Parallel computing,-0.09557650877143896
Computer science:Computer hardware,0.01560376879544878
Computer science:Memory,0.0027279594863042454
Computer science:Address space,-0.031016460704342306
Computer science:Space,-0.02725190275622552
Computer science:Data,-0.1113183025371532
Computer science:Data type,-0.2575207845251176
Computer science:Arithmetic logic unit,-0.040730067243035545
Computer science:System,-0.07064413116286317
Computer science:Computer network,0.009671274361353975
Computer science:Transistor,0.02176161974432868
Computer science:Data (computing),-0.1491819280468532
Computer science:Endianness,-0.0670391061452514
Computer science:Integer,-0.0417325735086997
Computer science:Compiler,-0.12890711593881624
Computer science:Language,-0.014282779004156813
Computer science:Virtual memory,-0.07938171338747708
Computer science:Error correction code,-0.08355304841907331
Computer science:Page table,-0.17857142857142858
Computer science:Cache (computing),-0.06623593938830528
Computer science:Combinatorics,-0.1175048805429023
Computer science:Clock signal,-0.01100704450848543
Computer science:Processor register,-0.03942973834379831
Computer science:Abstraction (computer science),-0.19277258308626874
Computer science:Design,-0.05918712113683792
Computer science:Bus (computing),-0.020436092798020868
Computer science:Architecture,-0.012609014651266574
Computer science:Interrupt,-0.0526928059646247
Computer science:Direct memory access,-0.017670256332473835
Computer science:Computer programming,-0.10802799505969535
Computer science:Assembly language,-0.05759419361724837
Computer science:Program optimization,-0.21162761558701917
Computer science:Concurrency (computer science),-0.24153246312934398
Computer science:Instruction pipelining,-0.0669635839664658
Computer science:Knowledge,-0.05100647873285519
Computer science:Functional decomposition,-0.08450704225352113
Computer science:Decomposition,-0.005649717514124294
Computer science:Digital electronics,-0.030036294358096294
Computer science:Understanding,-0.14000311550743827
Computer science:Machine,0.005407072566576389
Computer science:Hardware architecture,-0.0962771275657237
Computer science:Computer architecture,-0.11867709619871003
Computer science:Compiled language,-0.03868075568363753
Computer science:Machine code,-0.07941082292667306
Computer science:Software,-0.06258169162690351
Computer science:Logic gate,-0.013546209681147801
Computer science:Computer,0.0845767097393945
Computer science:Operating system,-0.0027947357341444046
Computer science:Central processing unit,0.007792423974448348
Computer science:Two's complement,-0.06493506493506493
Computer science:Arithmetic,-0.03672076444714091
Computer science:Von Neumann architecture,-0.0888598150669189
Computer science:Instruction set architecture,-0.10754199761017783
Computer science:Reduced instruction set computer,-0.05665444066020434
Computer science:Complex instruction set computer,-0.03477685177973363
Computer science:Communication,-0.019701580974440462
Computer science:Computer science,0.0
Computer science:Scientist,-0.050986477499445806
Computer science:Macro (computer science),-0.10822926673070765
Computer science:Virtualization,-0.04001901423096348
Computer science:Synchronization,-0.09423631123919309
Computer science:Input/output,-0.14715801091421915
Computer science:High-level programming language,-0.19411280362289007
Computer science:Subroutine,-0.18215588612550182
Science:Parallel computing,-0.0004193445462418524
Science:Computer hardware,0.0009049113332846824
Science:Memory,0.003746752358813072
Science:Address space,-0.01694915254237288
Science:Space,-0.0958107620079451
Science:Data,-0.06851698425849213
Science:Data type,-0.020174283108724288
Science:Arithmetic logic unit,-0.011924882629107982
Science:System,-0.09486105824133995
Science:Computer network,0.005016539917470928
Science:Transistor,0.019962080173347777
Science:Data (computing),-0.002430713312130849
Science:Endianness,-0.0111731843575419
Science:Integer,0.0009319072328709092
Science:Compiler,-0.00539003250270856
Science:Language,0.0034142698972629212
Science:Virtual memory,-0.008264462809917356
Science:Error correction code,-0.0070921985815602835
Science:Page table,0.0
Science:Cache (computing),-0.008064516129032258
Science:Combinatorics,-0.07104346509162503
Science:Clock signal,-0.012480438184663536
Science:Processor register,-0.002397164443615335
Science:Abstraction (computer science),-0.027368527713040835
Science:Design,-0.07712481787275376
Science:Bus (computing),0.0014084507042253522
Science:Architecture,-0.0289342353332594
Science:Interrupt,0.0
Science:Direct memory access,0.0
Science:Computer programming,-0.008692152917505032
Science:Assembly language,-0.007407407407407408
Science:Program optimization,-0.017391304347826087
Science:Concurrency (computer science),-0.011764705882352941
Science:Instruction pipelining,-0.01818181818181818
Science:Knowledge,-0.07711532352006777
Science:Functional decomposition,-0.04225352112676056
Science:Decomposition,-0.025431686162170765
Science:Digital electronics,8.250338853202886e-05
Science:Understanding,-0.07122192615150362
Science:Machine,-0.022704790616609356
Science:Hardware architecture,-0.04081632653061224
Science:Computer architecture,0.007042253521126761
