COMP1110:COMP2120,Score
Science:Software,-0.0009004848764719471
Science:Technology,-0.02515429656591233
Science:Stakeholder (corporate),-0.016666666666666666
Science:Ethics,-0.008580316253348305
Science:Exercise,-0.0023917087430241823
Science:Critical thinking,-0.047903991999333276
Science:Thought,-0.06847237269772481
Science:Knowledge,-0.07711532352006777
Science:Software system,-0.045454545454545456
Science:System,-0.09486105824133995
Science:Design,-0.07712481787275376
Science:Methodology,-0.30234741784037555
Science:Computer programming,-0.008692152917505032
Science:Understanding,-0.07122192615150362
Science:Tool,-0.040417505030181086
Science:Web application,0.0014084507042253522
Science:Software engineering,-0.07523622749153146
Science:Engineering,-0.01876354279523293
Science:Business value,0.0
Science:Process modeling,0.0
Science:Requirement,-0.028169014084507043
Science:Requirements engineering,-0.05
Science:User experience,-0.019230769230769232
Science:Experience,-0.0553743513713862
Science:Software development process,-0.025864276568501918
Science:Construction,-0.04316801281623389
Science:Architecture,-0.0289342353332594
Science:Software testing,-0.007765861222380153
Science:Software verification and validation,-0.016129032258064516
Science:Verification and validation,-0.03206681952178185
Discipline:Software,-0.01092896174863388
Discipline:Technology,0.015658618216590963
Discipline:Stakeholder (corporate),0.02127659574468085
Discipline:Ethics,0.10024800939825088
Discipline:Exercise,0.0
Discipline:Critical thinking,0.0035251164547400217
Discipline:Thought,0.0
Discipline:Knowledge,-0.007518796992481203
Discipline:Software system,0.0
Discipline:System,0.014519838987924093
Discipline:Design,-0.013793103448275862
Discipline:Methodology,0.0
Discipline:Computer programming,-0.005714285714285714
Discipline:Understanding,-0.013513513513513514
Discipline:Tool,0.0
Discipline:Web application,0.0
Discipline:Software engineering,-0.0189873417721519
Discipline:Engineering,-0.040865384615384616
Discipline:Business value,0.0
Discipline:Process modeling,-0.034482758620689655
Discipline:Requirement,-0.014084507042253521
Discipline:Requirements engineering,0.0
Discipline:User experience,0.0
Discipline:Experience,-0.010526315789473684
Discipline:Software development process,-0.02727272727272727
Discipline:Construction,-0.018957345971563982
Discipline:Architecture,-0.007874015748031496
Discipline:Software testing,-0.009174311926605505
Discipline:Software verification and validation,-0.016129032258064516
Discipline:Verification and validation,-0.011627906976744186
Computer:Software,-0.10228274281685175
Computer:Technology,-0.039929926301800166
Computer:Stakeholder (corporate),0.0
Computer:Ethics,-0.0021027112606372455
Computer:Exercise,0.0
Computer:Critical thinking,-0.009146147483616467
Computer:Thought,-0.019230769230769232
Computer:Knowledge,-0.00483062494947045
Computer:Software system,-0.13233137829912023
Computer:System,-0.019071490845684397
Computer:Design,-0.012625139043381535
Computer:Methodology,-0.02895894428152493
Computer:Computer programming,-0.08841781874039938
Computer:Understanding,-0.06756756756756757
Computer:Tool,-0.04061059907834101
Computer:Web application,-0.04723502304147465
Computer:Software engineering,-0.06172587450660133
Computer:Engineering,-0.029466501240694793
Computer:Business value,0.0
Computer:Process modeling,0.0
Computer:Requirement,-0.06907844918976223
Computer:Requirements engineering,-0.023655913978494626
Computer:User experience,-0.05366004962779157
Computer:Experience,-0.010526315789473684
Computer:Software development process,-0.032331378299120236
Computer:Construction,-0.03657060592162259
Computer:Architecture,-0.005058843451020235
