s1,s2,score
comp1100,comp1100,0.92
comp1100,comp1110,0.9045
comp1100,comp1600,0.8789
comp1100,comp1710,0.8865
comp1100,comp1730,0.8963
comp1100,comp2100,0.9037
comp1100,comp2120,0.8825
comp1100,comp2310,0.8875
comp1100,comp2400,0.8862
comp1100,comp2410,0.8776
comp1100,comp2420,0.8838
comp1100,comp2550,0.8793
comp1100,comp2560,0.8705
comp1100,comp2610,0.878
comp1100,comp2620,0.8837
comp1100,comp2700,0.8825
comp1100,comp3120,0.8659
comp1100,comp3300,0.8866
comp1100,comp3310,0.8879
comp1100,comp3320,0.8917
comp1100,comp3425,0.8844
comp1100,comp3430,0.8848
comp1100,comp3530,0.871
comp1100,comp3600,0.9031
comp1100,comp3620,0.8883
comp1100,comp3701,0.884
comp1100,comp3703,0.888
comp1100,comp3704,0.8695
comp1100,comp3900,0.8847
comp1100,comp4300,0.9003
comp1100,comp4330,0.8874
comp1100,comp4610,0.891
comp1100,comp4620,0.8825
comp1100,comp4670,0.8775
comp1100,comp4691,0.8919
comp1110,comp1100,0.9045
comp1110,comp1110,0.92
comp1110,comp1600,0.8822
comp1110,comp1710,0.8952
comp1110,comp1730,0.9008
comp1110,comp2100,0.9145
comp1110,comp2120,0.8951
comp1110,comp2310,0.8941
comp1110,comp2400,0.8951
comp1110,comp2410,0.8888
comp1110,comp2420,0.8912
comp1110,comp2550,0.889
comp1110,comp2560,0.8791
comp1110,comp2610,0.8785
comp1110,comp2620,0.8842
comp1110,comp2700,0.8899
comp1110,comp3120,0.8753
comp1110,comp3300,0.8939
comp1110,comp3310,0.8978
comp1110,comp3320,0.8986
comp1110,comp3425,0.8909
comp1110,comp3430,0.896
comp1110,comp3530,0.8773
comp1110,comp3600,0.9081
comp1110,comp3620,0.8944
comp1110,comp3701,0.8928
comp1110,comp3703,0.896
comp1110,comp3704,0.8746
comp1110,comp3900,0.8937
comp1110,comp4300,0.9063
comp1110,comp4330,0.8939
comp1110,comp4610,0.8968
comp1110,comp4620,0.8923
comp1110,comp4670,0.8805
comp1110,comp4691,0.8974
comp1600,comp1100,0.8789
comp1600,comp1110,0.8822
comp1600,comp1600,0.92
comp1600,comp1710,0.8482
comp1600,comp1730,0.874
comp1600,comp2100,0.8839
comp1600,comp2120,0.849
comp1600,comp2310,0.8669
comp1600,comp2400,0.8714
comp1600,comp2410,0.8472
comp1600,comp2420,0.8662
comp1600,comp2550,0.8505
comp1600,comp2560,0.8379
comp1600,comp2610,0.8698
comp1600,comp2620,0.8908
comp1600,comp2700,0.846
comp1600,comp3120,0.8265
comp1600,comp3300,0.8668
comp1600,comp3310,0.8646
comp1600,comp3320,0.8729
comp1600,comp3425,0.8593
comp1600,comp3430,0.8545
comp1600,comp3530,0.8356
comp1600,comp3600,0.8926
comp1600,comp3620,0.8789
comp1600,comp3701,0.8492
comp1600,comp3703,0.8604
comp1600,comp3704,0.84
comp1600,comp3900,0.849
comp1600,comp4300,0.8833
comp1600,comp4330,0.8705
comp1600,comp4610,0.8691
comp1600,comp4620,0.8605
comp1600,comp4670,0.872
comp1600,comp4691,0.892
comp1710,comp1100,0.8865
comp1710,comp1110,0.8952
comp1710,comp1600,0.8482
comp1710,comp1710,0.92
comp1710,comp1730,0.8919
comp1710,comp2100,0.8966
comp1710,comp2120,0.8951
comp1710,comp2310,0.8822
comp1710,comp2400,0.8828
comp1710,comp2410,0.8948
comp1710,comp2420,0.8882
comp1710,comp2550,0.8932
comp1710,comp2560,0.8833
comp1710,comp2610,0.8743
comp1710,comp2620,0.8669
comp1710,comp2700,0.8968
comp1710,comp3120,0.8827
comp1710,comp3300,0.8864
comp1710,comp3310,0.8988
comp1710,comp3320,0.8913
comp1710,comp3425,0.8961
comp1710,comp3430,0.8991
comp1710,comp3530,0.883
comp1710,comp3600,0.8874
comp1710,comp3620,0.8862
comp1710,comp3701,0.898
comp1710,comp3703,0.8871
comp1710,comp3704,0.8813
comp1710,comp3900,0.9049
comp1710,comp4300,0.891
comp1710,comp4330,0.8884
comp1710,comp4610,0.8944
comp1710,comp4620,0.8902
comp1710,comp4670,0.8663
comp1710,comp4691,0.8772
comp1730,comp1100,0.8963
comp1730,comp1110,0.9008
comp1730,comp1600,0.874
comp1730,comp1710,0.8919
comp1730,comp1730,0.92
comp1730,comp2100,0.8986
comp1730,comp2120,0.8886
comp1730,comp2310,0.8906
comp1730,comp2400,0.8825
comp1730,comp2410,0.8819
comp1730,comp2420,0.8841
comp1730,comp2550,0.8871
comp1730,comp2560,0.8827
comp1730,comp2610,0.8798
comp1730,comp2620,0.8826
comp1730,comp2700,0.8864
comp1730,comp3120,0.8745
comp1730,comp3300,0.8938
comp1730,comp3310,0.8879
comp1730,comp3320,0.9032
comp1730,comp3425,0.894
comp1730,comp3430,0.8857
comp1730,comp3530,0.8817
comp1730,comp3600,0.9053
comp1730,comp3620,0.8916
comp1730,comp3701,0.8903
comp1730,comp3703,0.8902
comp1730,comp3704,0.8755
comp1730,comp3900,0.8873
comp1730,comp4300,0.9061
comp1730,comp4330,0.8947
comp1730,comp4610,0.8964
comp1730,comp4620,0.8848
comp1730,comp4670,0.8818
comp1730,comp4691,0.8964
comp2100,comp1100,0.9037
comp2100,comp1110,0.9145
comp2100,comp1600,0.8839
comp2100,comp1710,0.8966
comp2100,comp1730,0.8986
comp2100,comp2100,0.92
comp2100,comp2120,0.8969
comp2100,comp2310,0.8961
comp2100,comp2400,0.8955
comp2100,comp2410,0.8925
comp2100,comp2420,0.8959
comp2100,comp2550,0.8903
comp2100,comp2560,0.8752
comp2100,comp2610,0.8827
comp2100,comp2620,0.8833
comp2100,comp2700,0.8927
comp2100,comp3120,0.8782
comp2100,comp3300,0.8969
comp2100,comp3310,0.9044
comp2100,comp3320,0.8992
comp2100,comp3425,0.8931
comp2100,comp3430,0.9007
comp2100,comp3530,0.8785
comp2100,comp3600,0.9093
comp2100,comp3620,0.8953
comp2100,comp3701,0.8974
comp2100,comp3703,0.9032
comp2100,comp3704,0.8821
comp2100,comp3900,0.8965
comp2100,comp4300,0.9068
comp2100,comp4330,0.8973
comp2100,comp4610,0.8971
comp2100,comp4620,0.8914
comp2100,comp4670,0.8829
comp2100,comp4691,0.8991
comp2120,comp1100,0.8825
comp2120,comp1110,0.8951
comp2120,comp1600,0.849
comp2120,comp1710,0.8951
comp2120,comp1730,0.8886
comp2120,comp2100,0.8969
comp2120,comp2120,0.92
comp2120,comp2310,0.8754
comp2120,comp2400,0.8706
comp2120,comp2410,0.8937
comp2120,comp2420,0.882
comp2120,comp2550,0.8994
comp2120,comp2560,0.8891
comp2120,comp2610,0.8614
comp2120,comp2620,0.856
comp2120,comp2700,0.8887
comp2120,comp3120,0.8826
comp2120,comp3300,0.8837
comp2120,comp3310,0.8848
comp2120,comp3320,0.8933
comp2120,comp3425,0.8944
comp2120,comp3430,0.8926
comp2120,comp3530,0.8879
comp2120,comp3600,0.8901
comp2120,comp3620,0.8871
comp2120,comp3701,0.8966
comp2120,comp3703,0.8903
comp2120,comp3704,0.8763
comp2120,comp3900,0.91
comp2120,comp4300,0.8833
comp2120,comp4330,0.8812
comp2120,comp4610,0.8833
comp2120,comp4620,0.8961
comp2120,comp4670,0.867
comp2120,comp4691,0.8813
comp2310,comp1100,0.8875
comp2310,comp1110,0.8941
comp2310,comp1600,0.8669
comp2310,comp1710,0.8822
comp2310,comp1730,0.8906
comp2310,comp2100,0.8961
comp2310,comp2120,0.8754
comp2310,comp2310,0.92
comp2310,comp2400,0.8862
comp2310,comp2410,0.8812
comp2310,comp2420,0.878
comp2310,comp2550,0.8653
comp2310,comp2560,0.8577
comp2310,comp2610,0.8716
comp2310,comp2620,0.8685
comp2310,comp2700,0.8801
comp2310,comp3120,0.8614
comp2310,comp3300,0.8966
comp2310,comp3310,0.9012
comp2310,comp3320,0.8928
comp2310,comp3425,0.8807
comp2310,comp3430,0.8822
comp2310,comp3530,0.8689
comp2310,comp3600,0.8981
comp2310,comp3620,0.8816
comp2310,comp3701,0.8855
comp2310,comp3703,0.8886
comp2310,comp3704,0.8773
comp2310,comp3900,0.8755
comp2310,comp4300,0.9047
comp2310,comp4330,0.8914
comp2310,comp4610,0.8868
comp2310,comp4620,0.8664
comp2310,comp4670,0.8702
comp2310,comp4691,0.8833
comp2400,comp1100,0.8862
comp2400,comp1110,0.8951
comp2400,comp1600,0.8714
comp2400,comp1710,0.8828
comp2400,comp1730,0.8825
