s1,s2,score
comp1100,comp1110,0.9543
comp1100,comp1600,0.9228
comp1100,comp1710,0.9173
comp1100,comp1730,0.9299
comp1100,comp2100,0.9479
comp1100,comp2120,0.9209
comp1100,comp2310,0.9212
comp1100,comp2400,0.9169
comp1100,comp2410,0.9098
comp1100,comp2420,0.9204
comp1100,comp2550,0.9172
comp1100,comp2560,0.9198
comp1100,comp2610,0.9215
comp1100,comp2620,0.9221
comp1100,comp2700,0.9213
comp1100,comp3120,0.9001
comp1100,comp3300,0.9206
comp1100,comp3310,0.9196
comp1100,comp3320,0.9286
comp1100,comp3425,0.9267
comp1100,comp3430,0.9199
comp1100,comp3530,0.9104
comp1100,comp3600,0.9440
comp1100,comp3620,0.9281
comp1100,comp3701,0.9264
comp1100,comp3702,0.9259
comp1100,comp3704,0.9026
comp1100,comp3900,0.9266
comp1100,comp4300,0.9308
comp1100,comp4330,0.9239
comp1100,comp4610,0.9254
comp1100,comp4620,0.9301
comp1100,comp4670,0.9208
comp1100,comp4691,0.9362
comp1110,comp1600,0.9224
comp1110,comp1710,0.9299
comp1110,comp1730,0.9297
comp1110,comp2100,0.9566
comp1110,comp2120,0.9325
comp1110,comp2310,0.9209
comp1110,comp2400,0.9231
comp1110,comp2410,0.9182
comp1110,comp2420,0.9228
comp1110,comp2550,0.9320
comp1110,comp2560,0.9221
comp1110,comp2610,0.9055
comp1110,comp2620,0.9150
comp1110,comp2700,0.9203
comp1110,comp3120,0.9149
comp1110,comp3300,0.9246
comp1110,comp3310,0.9245
comp1110,comp3320,0.9242
comp1110,comp3425,0.9222
comp1110,comp3430,0.9317
comp1110,comp3530,0.9144
comp1110,comp3600,0.9393
comp1110,comp3620,0.9220
comp1110,comp3701,0.9267
comp1110,comp3702,0.9288
comp1110,comp3704,0.9081
comp1110,comp3900,0.9276
comp1110,comp4300,0.9313
comp1110,comp4330,0.9224
comp1110,comp4610,0.9277
comp1110,comp4620,0.9269
comp1110,comp4670,0.9110
comp1110,comp4691,0.9259
comp1600,comp1710,0.8750
comp1600,comp1730,0.9064
comp1600,comp2100,0.9114
comp1600,comp2120,0.8763
comp1600,comp2310,0.8952
comp1600,comp2400,0.8965
comp1600,comp2410,0.8722
comp1600,comp2420,0.8923
comp1600,comp2550,0.8786
comp1600,comp2560,0.8664
comp1600,comp2610,0.9007
comp1600,comp2620,0.9254
comp1600,comp2700,0.8799
comp1600,comp3120,0.8631
comp1600,comp3300,0.9023
comp1600,comp3310,0.8904
comp1600,comp3320,0.9041
comp1600,comp3425,0.8864
comp1600,comp3430,0.8805
comp1600,comp3530,0.8689
comp1600,comp3600,0.9178
comp1600,comp3620,0.9039
comp1600,comp3701,0.8799
comp1600,comp3702,0.8886
comp1600,comp3704,0.8763
comp1600,comp3900,0.8764
comp1600,comp4300,0.9105
comp1600,comp4330,0.9032
comp1600,comp4610,0.8983
comp1600,comp4620,0.8926
comp1600,comp4670,0.9096
comp1600,comp4691,0.9136
comp1710,comp1730,0.9170
