score,s1,s2
0.9375,This course provides students with hands-on experience of being a researcher in the computing discipline.,This will be achieved by introducing students to important design methodologies.
0.9292,"It exposes the students to research skills, problem solving skills, team work and project management.","This course will empower students with the ability and confidence necessary to exercise critical thinking and professional judgment to select and apply appropriate knowledge, practices and tools to the development of non-trivial software systems."
0.9058,Each student will work on a small-scale research project supervised by an academic researcher.,This will be achieved by introducing students to important design methodologies.
0.8965,"A central part of the course will be a mock-conference to which all students will submit a paper to about their research. Students will anonymously review each others papers, respond to the reviews and submit a final version of their paper that considers reviewer comments.","Knowledge, practices and tools considered in this course will include process models, requirements engineering, design, modelling and user experience."
0.8933,"At the end of the course, students will give a talk about their research and present a poster.",This will be achieved by introducing students to important design methodologies.
0.9280,"Throughout the course there will be meetings where students discuss all aspects of their projects, as well as a set of lectures about different aspects of being a successful researcher.",This will be achieved by introducing students to important design methodologies.
0.9172,Understand the main principles and concepts in at least two areas of computer science that are being actively shaped by research.,This will be achieved by introducing students to important design methodologies.
0.9235,Have an understanding of the research methods being employed in these areas.,This will be achieved by introducing students to important design methodologies.
0.9281,Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.,"This course will empower students with the ability and confidence necessary to exercise critical thinking and professional judgment to select and apply appropriate knowledge, practices and tools to the development of non-trivial software systems."
0.9082,Have an understanding of how to be a successful researcher.,We will build on previous programming courses to deepen and broaden students' knowledge and understanding of the practices and tools used to build large software systems within complex environments.
0.8889,Have a finished research paper that can be submitted for publication to one of the conferences or workshops in the area of their project.,"Knowledge, practices and tools considered in this course will include process models, requirements engineering, design, modelling and user experience."
