score,s1,s2
0.9369,The course introduces students to some fundamentals of research methodology.,The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9212,"The course comprises a series of lectures which cover the following topics: Philosophy of Science, Quantitative Research Methods, Qualitative Research Methods, Basic Machine Learning Methods, Theoretical Research Methods, How to find a Research Topic, Literature Analysis, Reading and Reviewing Papers, Research Ethics and Commercialising Research.",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9380,"The lectures will be complemented by a series of workshops, labs and assignments that require students to do some small research focused tasks that help them get a hands-on experience of research, both individually and in teams of students.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9327,"This includes different tasks such as topic modelling, statistical analysis, applying different machine learning techniques to solve a problem in a team, proving theorems, complexity analysis, designing a research project, reviewing papers and presenting papers.","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9392,"Workshops cover topics such as research integrity, time management and project management, teamwork, reading strategies, report writing, and presenting research. At the end of the course, students will be confident to start working on their own research projects.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9112,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9179,This includes demonstrated skills in the writing of abstracts and research papers.,The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.8971,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.9163,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,Describe and apply alternative computational paradigms to simple problems.
0.8833,Demonstrate an ability to undertake and manage a research project of significant size and scope.,It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9315,Understanding of the process of identifying and formulating research problems.,Describe and apply alternative computational paradigms to simple problems.
0.9106,Ability to carry out literature searches and some ability to critically evaluate literature.,Describe and apply alternative computational paradigms to simple problems.
0.9046,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.","Describe, understand and evolve programs, via documentation, testing, and debugging."
0.8997,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,Describe and apply alternative computational paradigms to simple problems.
