score,s1,s2
0.8696,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8743,This course teaches introductory programming within a problem solving framework applicable to the sciences.,These include distributed software revision control systems.
0.8863,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.8955,This course teaches introductory programming within a problem solving framework applicable to the sciences.,Understand the legal context for protection of software as intellectual property.
0.8962,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8998,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9004,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Describe, understand and evolve programs, via documentation, testing, and debugging."
0.9011,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9082,This course teaches introductory programming within a problem solving framework applicable to the sciences.,Understand basic types and the benefits of static typing.
0.9159,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9227,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.9289,This course teaches introductory programming within a problem solving framework applicable to the sciences.,This course is the first of three core computer science courses on programming.
0.9375,This course teaches introductory programming within a problem solving framework applicable to the sciences.,The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9408,This course teaches introductory programming within a problem solving framework applicable to the sciences.,Describe and apply alternative computational paradigms to simple problems.
0.9417,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9425,This course teaches introductory programming within a problem solving framework applicable to the sciences.,The functional paradigm demonstrates elegant solutions to many programming problems.
0.9431,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9508,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.9549,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9550,This course teaches introductory programming within a problem solving framework applicable to the sciences.,It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.8674,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8819,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.",These include distributed software revision control systems.
0.8864,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.8868,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8876,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.",Understand the legal context for protection of software as intellectual property.
0.8885,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8943,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.8954,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.",Understand basic types and the benefits of static typing.
0.9047,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.",This course is the first of three core computer science courses on programming.
0.9055,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9108,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Describe, understand and evolve programs, via documentation, testing, and debugging."
0.9130,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.",The functional paradigm demonstrates elegant solutions to many programming problems.
0.9157,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9195,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9197,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9216,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9234,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.",Describe and apply alternative computational paradigms to simple problems.
0.9246,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9373,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.9398,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.8583,There is an emphasis on designing and writing correct code.,"Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8655,There is an emphasis on designing and writing correct code.,"Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.8712,There is an emphasis on designing and writing correct code.,"Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.8718,There is an emphasis on designing and writing correct code.,"Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8726,There is an emphasis on designing and writing correct code.,"Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.8747,There is an emphasis on designing and writing correct code.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8797,There is an emphasis on designing and writing correct code.,"Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.8808,There is an emphasis on designing and writing correct code.,"Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.8826,There is an emphasis on designing and writing correct code.,Understand the legal context for protection of software as intellectual property.
0.8829,There is an emphasis on designing and writing correct code.,This course is the first of three core computer science courses on programming.
0.8873,There is an emphasis on designing and writing correct code.,These include distributed software revision control systems.
0.8909,There is an emphasis on designing and writing correct code.,The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.8933,There is an emphasis on designing and writing correct code.,Describe and apply alternative computational paradigms to simple problems.
0.8979,There is an emphasis on designing and writing correct code.,It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9080,There is an emphasis on designing and writing correct code.,The functional paradigm demonstrates elegant solutions to many programming problems.
0.9088,There is an emphasis on designing and writing correct code.,"Describe, understand and evolve programs, via documentation, testing, and debugging."
