score,s1,s2
0.8368,Information theory studies the fundamental limits of the representation and transmission of information.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8419,Information theory studies the fundamental limits of the representation and transmission of information.,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming."
0.8446,Information theory studies the fundamental limits of the representation and transmission of information.,"Develop, understand, test, and evolve substantial programs using a modern IDE, and associated configuration tools; understand common coding errors and how to avoid them; practice fundamental defensive programming; perform individual and team program reviews; use established design principles to organize a software system."
0.8525,Information theory studies the fundamental limits of the representation and transmission of information.,"The foundations of software engineering including: major development paradigms (such as big plan up front, agile, and formal methods), risk are introduced."
0.8547,Information theory studies the fundamental limits of the representation and transmission of information.,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.
0.8566,Information theory studies the fundamental limits of the representation and transmission of information.,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction."
0.8574,Information theory studies the fundamental limits of the representation and transmission of information.,"Apply basic algorithmic analysis to simple algorithms; use appropriate algorithmic approaches to solve problems (brute-force, divide-and-conquer, recursive backtracking, heuristic)."
0.8606,Information theory studies the fundamental limits of the representation and transmission of information.,"Use, implement, and evaluate fundamental data structures and associated algorithms; create, implement, debug, and evaluate algorithms for solving substantial problems, including recursively, using divide-and-conquer, and via decomposition; implement an abstract data type."
0.8606,Information theory studies the fundamental limits of the representation and transmission of information.,This course introduces students to the fundamentals of software development with a substantial group software project at its center.
0.8609,Information theory studies the fundamental limits of the representation and transmission of information.,"Distinguish language definition from implementation, syntax and parsing from semantics and evaluation, understand how program state maps to memory (globals, local, heap), and understand the implications of heap reachability for memory management."
0.8653,Information theory studies the fundamental limits of the representation and transmission of information.,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools."
0.8668,Information theory studies the fundamental limits of the representation and transmission of information.,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing."
0.8758,Information theory studies the fundamental limits of the representation and transmission of information.,"Major foci are data structures, object oriented programming, and an introduction to software engineering."
0.8840,Information theory studies the fundamental limits of the representation and transmission of information.,"Understand the basics of event-driven programming, and its use in constructing GUIs"
0.8846,Information theory studies the fundamental limits of the representation and transmission of information.,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.
0.8864,Information theory studies the fundamental limits of the representation and transmission of information.,"Apply fundamental programming concepts, using an object oriented programming language, to solve substantial problems."
0.8876,Information theory studies the fundamental limits of the representation and transmission of information.,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types."
0.8372,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8450,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.",The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.
0.8461,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.",This course introduces students to the fundamentals of software development with a substantial group software project at its center.
0.8496,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.","The foundations of software engineering including: major development paradigms (such as big plan up front, agile, and formal methods), risk are introduced."
0.8497,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.","Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools."
0.8558,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.","Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming."
0.8563,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.","Develop, understand, test, and evolve substantial programs using a modern IDE, and associated configuration tools; understand common coding errors and how to avoid them; practice fundamental defensive programming; perform individual and team program reviews; use established design principles to organize a software system."
0.8626,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.","Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction."
0.8653,"This course provides an introduction to information theory, studying fundamental concepts such as probability, information, and entropy and examining their applications in the areas of data compression, coding, communications, pattern recognition and probabilistic inference.","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation, understand how program state maps to memory (globals, local, heap), and understand the implications of heap reachability for memory management."
