score,s1,s2
0.8654,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8793,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",Have an understanding of some widely-used algorithms.
0.8811,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",There is an emphasis on designing and writing correct code.
0.8880,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",Both top-down and object oriented design are taught.
0.8928,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",Have an awareness of good program organisation.
0.8947,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.9020,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.9106,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.","Design, write and debug small programs to solve practical problems of a scientific nature."
0.9114,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",Have a practical understanding of the processing of scientific data.
0.9184,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",Testing and debugging are seen as integral to the programming enterprise.
0.9200,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.","The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.9202,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.9310,"This course aims to provide students with sufficient knowledge of the basic principles of software project management that they may support a project manager to carry out the project administrative functions of a program office, understand leadership and management within the context of an agile project development team, and understand the context in which project management is conducted.",This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8743,Many of the skills gained are of use outside formal project management environments.,There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8752,Many of the skills gained are of use outside formal project management environments.,Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.8901,Many of the skills gained are of use outside formal project management environments.,Both top-down and object oriented design are taught.
0.8937,Many of the skills gained are of use outside formal project management environments.,There is an emphasis on designing and writing correct code.
0.8972,Many of the skills gained are of use outside formal project management environments.,"Design, write and debug small programs to solve practical problems of a scientific nature."
0.8993,Many of the skills gained are of use outside formal project management environments.,Have an awareness of good program organisation.
0.9048,Many of the skills gained are of use outside formal project management environments.,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.9127,Many of the skills gained are of use outside formal project management environments.,Testing and debugging are seen as integral to the programming enterprise.
0.9142,Many of the skills gained are of use outside formal project management environments.,Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.9161,Many of the skills gained are of use outside formal project management environments.,Have an understanding of some widely-used algorithms.
0.9252,Many of the skills gained are of use outside formal project management environments.,Have a practical understanding of the processing of scientific data.
0.9293,Many of the skills gained are of use outside formal project management environments.,This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.9307,Many of the skills gained are of use outside formal project management environments.,The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8139,"Leadership,  Management, Professionalism, Ethics and Teamwork",There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8281,"Leadership,  Management, Professionalism, Ethics and Teamwork",Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.8327,"Leadership,  Management, Professionalism, Ethics and Teamwork",Have an understanding of some widely-used algorithms.
0.8427,"Leadership,  Management, Professionalism, Ethics and Teamwork",Both top-down and object oriented design are taught.
0.8510,"Leadership,  Management, Professionalism, Ethics and Teamwork",The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8536,"Leadership,  Management, Professionalism, Ethics and Teamwork","Design, write and debug small programs to solve practical problems of a scientific nature."
0.8601,"Leadership,  Management, Professionalism, Ethics and Teamwork",Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.8603,"Leadership,  Management, Professionalism, Ethics and Teamwork",There is an emphasis on designing and writing correct code.
0.8616,"Leadership,  Management, Professionalism, Ethics and Teamwork",This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8674,"Leadership,  Management, Professionalism, Ethics and Teamwork",Have a practical understanding of the processing of scientific data.
0.8742,"Leadership,  Management, Professionalism, Ethics and Teamwork","The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.8756,"Leadership,  Management, Professionalism, Ethics and Teamwork",Testing and debugging are seen as integral to the programming enterprise.
0.8808,"Leadership,  Management, Professionalism, Ethics and Teamwork",Have an awareness of good program organisation.
0.7669,Communication,Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.7805,Communication,There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.7910,Communication,Both top-down and object oriented design are taught.
0.7969,Communication,"Design, write and debug small programs to solve practical problems of a scientific nature."
0.8119,Communication,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.8135,Communication,There is an emphasis on designing and writing correct code.
0.8143,Communication,The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8195,Communication,Testing and debugging are seen as integral to the programming enterprise.
0.8206,Communication,Have an understanding of some widely-used algorithms.
0.8216,Communication,This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8313,Communication,Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.8342,Communication,Have a practical understanding of the processing of scientific data.
0.8636,Communication,Have an awareness of good program organisation.
0.8155,Project Context,Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.8186,Project Context,There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8410,Project Context,Both top-down and object oriented design are taught.
0.8446,Project Context,"Design, write and debug small programs to solve practical problems of a scientific nature."
0.8550,Project Context,The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8574,Project Context,Have an understanding of some widely-used algorithms.
0.8585,Project Context,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.8634,Project Context,There is an emphasis on designing and writing correct code.
0.8688,Project Context,Testing and debugging are seen as integral to the programming enterprise.
0.8709,Project Context,Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.8744,Project Context,This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8751,Project Context,Have a practical understanding of the processing of scientific data.
0.9163,Project Context,Have an awareness of good program organisation.
0.8434,Project Management Body of Knowledge (PMBoK),There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8508,Project Management Body of Knowledge (PMBoK),Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.8625,Project Management Body of Knowledge (PMBoK),There is an emphasis on designing and writing correct code.
0.8699,Project Management Body of Knowledge (PMBoK),"Design, write and debug small programs to solve practical problems of a scientific nature."
0.8706,Project Management Body of Knowledge (PMBoK),Both top-down and object oriented design are taught.
0.8731,Project Management Body of Knowledge (PMBoK),Have an understanding of some widely-used algorithms.
0.8764,Project Management Body of Knowledge (PMBoK),Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.8802,Project Management Body of Knowledge (PMBoK),"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.8803,Project Management Body of Knowledge (PMBoK),The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8835,Project Management Body of Knowledge (PMBoK),Have an awareness of good program organisation.
0.8840,Project Management Body of Knowledge (PMBoK),This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8888,Project Management Body of Knowledge (PMBoK),Testing and debugging are seen as integral to the programming enterprise.
0.8995,Project Management Body of Knowledge (PMBoK),Have a practical understanding of the processing of scientific data.
0.8387,Agile Project Planning,There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8497,Agile Project Planning,Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.8678,Agile Project Planning,"Design, write and debug small programs to solve practical problems of a scientific nature."
0.8688,Agile Project Planning,Both top-down and object oriented design are taught.
0.8693,Agile Project Planning,The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8724,Agile Project Planning,Have an understanding of some widely-used algorithms.
0.8822,Agile Project Planning,There is an emphasis on designing and writing correct code.
0.8851,Agile Project Planning,Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.8852,Agile Project Planning,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.8856,Agile Project Planning,This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8917,Agile Project Planning,Testing and debugging are seen as integral to the programming enterprise.
0.8955,Agile Project Planning,Have a practical understanding of the processing of scientific data.
0.9085,Agile Project Planning,Have an awareness of good program organisation.
0.8381,Agile Project Management,There will be an introduction to widely-used computer science algorithms and to machine architecture.
