Similarity,comp1100,comp1110
0.8617,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8763,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.8778,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8794,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.8812,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.8821,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,These include distributed software revision control systems.
0.8948,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,Understand the legal context for protection of software as intellectual property.
0.8955,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Describe, understand and evolve programs, via documentation, testing, and debugging."
0.8986,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,Understand basic types and the benefits of static typing.
0.9064,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,The functional paradigm demonstrates elegant solutions to many programming problems.
0.9106,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9109,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9194,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9194,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,Describe and apply alternative computational paradigms to simple problems.
0.9254,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9267,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.9278,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,This course is the first of three core computer science courses on programming.
0.9318,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,"The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.9482,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9584,This course introduces students to the fundamentals of software development with a substantial group software project at its center.,The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.8865,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8923,"Major foci are data structures, object oriented programming, and an introduction to software engineering.",These include distributed software revision control systems.
0.8961,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8969,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8985,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.8990,"Major foci are data structures, object oriented programming, and an introduction to software engineering.",Understand the legal context for protection of software as intellectual property.
0.9073,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9116,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Describe, understand and evolve programs, via documentation, testing, and debugging."
0.9142,"Major foci are data structures, object oriented programming, and an introduction to software engineering.",This course is the first of three core computer science courses on programming.
0.9167,"Major foci are data structures, object oriented programming, and an introduction to software engineering.",Understand basic types and the benefits of static typing.
0.9177,"Major foci are data structures, object oriented programming, and an introduction to software engineering.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9192,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9228,"Major foci are data structures, object oriented programming, and an introduction to software engineering.",The functional paradigm demonstrates elegant solutions to many programming problems.
0.9244,"Major foci are data structures, object oriented programming, and an introduction to software engineering.",Describe and apply alternative computational paradigms to simple problems.
0.9283,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9297,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9332,"Major foci are data structures, object oriented programming, and an introduction to software engineering.",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9350,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9399,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9468,"Major foci are data structures, object oriented programming, and an introduction to software engineering.","The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.8850,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
