score,s1,s2
0.8448,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,Have an awareness of good program organisation.
0.8501,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,Both top-down and object oriented design are taught.
0.8534,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.8629,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8641,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,There is an emphasis on designing and writing correct code.
0.8676,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,"Design, write and debug small programs to solve practical problems of a scientific nature."
0.8704,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,Have an understanding of some widely-used algorithms.
0.8740,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.8766,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,Testing and debugging are seen as integral to the programming enterprise.
0.8818,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.8839,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8879,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8901,Data communications and computer networking systems are growing rapidly in both size and function. It is impossible to think of a successful business day without the Internet.,Have a practical understanding of the processing of scientific data.
0.8302,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8349,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",Have an awareness of good program organisation.
0.8382,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",There is an emphasis on designing and writing correct code.
0.8392,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.8439,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",Have an understanding of some widely-used algorithms.
0.8478,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.8498,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",Both top-down and object oriented design are taught.
0.8573,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.","The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.8582,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",Testing and debugging are seen as integral to the programming enterprise.
0.8600,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.","Design, write and debug small programs to solve practical problems of a scientific nature."
0.8635,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8648,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",Have a practical understanding of the processing of scientific data.
0.8711,"Modern communication technologies such as WiFi, Bring Your Own Device (BYOD), and Internet of Things (IoT) help us to stay connected with our family, friends, and work regardless of present location.",The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8447,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",Be able to describe and design small computer programs using both procedural and object-oriented methodologies.
0.8473,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",There will be an introduction to widely-used computer science algorithms and to machine architecture.
0.8519,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",Both top-down and object oriented design are taught.
0.8613,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",There is an emphasis on designing and writing correct code.
0.8661,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",Have an understanding of some widely-used algorithms.
0.8690,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.","Design, write and debug small programs to solve practical problems of a scientific nature."
0.8778,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",This course teaches introductory programming within a problem solving framework applicable to the sciences.
0.8779,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",Have an awareness of good program organisation.
0.8814,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",Have a practical understanding of the processing of scientific data.
0.8860,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.
0.8861,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.","The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data."
0.8869,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",The course will be taught using one or more programming languages which are widely applicable to scientific work.
0.8877,"Networked Information Systems (NISs) are becoming an essential part of everyday experiences, in our kitchen appliances, cars, and public transport and for Internet banking and shopping.",Testing and debugging are seen as integral to the programming enterprise.
