score,s1,s2
0.8773,This course is an introduction to relational databases and the general skills for designing and using them.,"Apply basic algorithmic analysis to simple algorithms; use appropriate algorithmic approaches to solve problems (brute-force, divide-and-conquer, recursive backtracking, heuristic)."
0.8818,This course is an introduction to relational databases and the general skills for designing and using them.,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing."
0.8874,This course is an introduction to relational databases and the general skills for designing and using them.,"Distinguish language definition from implementation, syntax and parsing from semantics and evaluation, understand how program state maps to memory (globals, local, heap), and understand the implications of heap reachability for memory management."
0.8882,This course is an introduction to relational databases and the general skills for designing and using them.,"Use, implement, and evaluate fundamental data structures and associated algorithms; create, implement, debug, and evaluate algorithms for solving substantial problems, including recursively, using divide-and-conquer, and via decomposition; implement an abstract data type."
0.8890,This course is an introduction to relational databases and the general skills for designing and using them.,"The foundations of software engineering including: major development paradigms (such as big plan up front, agile, and formal methods), risk are introduced."
0.8945,This course is an introduction to relational databases and the general skills for designing and using them.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.9028,This course is an introduction to relational databases and the general skills for designing and using them.,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.
0.9038,This course is an introduction to relational databases and the general skills for designing and using them.,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools."
0.9084,This course is an introduction to relational databases and the general skills for designing and using them.,"Develop, understand, test, and evolve substantial programs using a modern IDE, and associated configuration tools; understand common coding errors and how to avoid them; practice fundamental defensive programming; perform individual and team program reviews; use established design principles to organize a software system."
0.9123,This course is an introduction to relational databases and the general skills for designing and using them.,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming."
0.9147,This course is an introduction to relational databases and the general skills for designing and using them.,"Apply fundamental programming concepts, using an object oriented programming language, to solve substantial problems."
0.9163,This course is an introduction to relational databases and the general skills for designing and using them.,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction."
0.9188,This course is an introduction to relational databases and the general skills for designing and using them.,This course introduces students to the fundamentals of software development with a substantial group software project at its center.
