score,s1,s2
0.8536,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.","be capable of writing algorithms that yield good performance on high-performance architectures, and to be able to estimate and evaluate their performance."
0.8588,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",This course provides an introduction to High Performance Computing with an orientation towards applications in science and engineering.
0.8618,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.","The focus will be on the C and C++ programming languages, although reflecting the reality of modern scientific computation this course will also touch on other languages such as Python, Java and FORTRAN95."
0.8625,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",It will also look at practical methods of estimating and measuring algorithm/architecture performance.
0.8637,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",demonstrate a basic knowledge of numerical computing using an appropriate programming language.
0.8641,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",be competent in experimental computing in a numerical context and of the optimisation of algorithms on high performance architectures.
0.8658,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.","The following topics will be addressed: the C++ programming language; basic numerical computing from aspects of floating point error analysis to algorithms for solving differential equations; the engineering of scientific software; general high performance computing concepts and architectural principles; modern scalar architectures and their memory structure; performance and programmability issues, and program analysis techniques for high performance computing; parallel computing paradigms and programming using the OpenMP standard; trends in HPC systems."
0.8690,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",appreciate the building blocks of scientific and engineering software.
0.8770,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.","The course will study high performance computer architectures, including modern parallel processors, and will describe how an algorithm interacts with these architectures."
0.8776,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",Aspects of numerical computing and the design and construction of sophisticated scientific software will be considered.
0.8817,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",have an understanding of the various paradigms of high performance computing and their potential for performance and programmability.
0.8852,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",be able to reason about the accuracy of mathematical and numerical models of real physical phenomena.
0.8900,"Society relies on many complex systems of interacting technology, people, processes, laws and other elements. Examples of such systems include air transport, telecommunications and energy supply.",have an awareness of the modern field of computational science and engineering and of the impact of high performance computing on science and industry.
0.8836,"Systems Engineering is a holistic, multi-disciplinary and well established approach to the engineering of these complex systems.","The following topics will be addressed: the C++ programming language; basic numerical computing from aspects of floating point error analysis to algorithms for solving differential equations; the engineering of scientific software; general high performance computing concepts and architectural principles; modern scalar architectures and their memory structure; performance and programmability issues, and program analysis techniques for high performance computing; parallel computing paradigms and programming using the OpenMP standard; trends in HPC systems."
0.8867,"Systems Engineering is a holistic, multi-disciplinary and well established approach to the engineering of these complex systems.","be capable of writing algorithms that yield good performance on high-performance architectures, and to be able to estimate and evaluate their performance."
0.8879,"Systems Engineering is a holistic, multi-disciplinary and well established approach to the engineering of these complex systems.","The focus will be on the C and C++ programming languages, although reflecting the reality of modern scientific computation this course will also touch on other languages such as Python, Java and FORTRAN95."
0.8984,"Systems Engineering is a holistic, multi-disciplinary and well established approach to the engineering of these complex systems.",It will also look at practical methods of estimating and measuring algorithm/architecture performance.
0.8993,"Systems Engineering is a holistic, multi-disciplinary and well established approach to the engineering of these complex systems.","The course will study high performance computer architectures, including modern parallel processors, and will describe how an algorithm interacts with these architectures."
